,ranking,school,district,rating,grade,student,ratio
613,614,Lucy N. Holman Elementary School,Jackson Township School District,B,K-5,535,13 to 1
614,615,F.N. Brown School,Verona Public School District,B,K-4,281,12 to 1
615,616,Clyde S. Jennings Elementary School,Haddon Township School District,B,K-5,99,11 to 1
616,617,Hazel Avenue Elementary School,West Orange Public Schools,B,K-5,320,10 to 1
617,618,Manchester Township Elementary School,Manchester Township School District,B,K-5,537,11 to 1
618,619,Indiana Avenue School,Woodbridge Township School District,B,K-5,527,17 to 1
619,620,Aaron Decker School,Butler Public School District,B,"PK, K-4",372,11 to 1
620,621,Dogwood Hill Elementary School,Oakland Public School District,B,K-5,265,10 to 1
621,622,Samsel Upper Elementary School,Sayreville School District,B,"PK, 4-5",1232,15 to 1
622,623,Hillside Elementary School,Mount Laurel Township School District,B,"PK, K-4",324,11 to 1
623,624,Harrison Township Elementary School,Harrison Township School District,B,"PK, K-3",787,13 to 1
624,625,Van Derveer School,Somerville Public School District,B,"PK, K-5",799,10 to 1
625,626,Howard C. Johnson Elementary School,Jackson Township School District,B,"PK, K-5",453,12 to 1
626,627,Cliffside Park School No. 4,Cliffside Park School District,B,K-5,536,12 to 1
627,628,H. Russell Swift Elementary School,Egg Harbor Township School District,B,"PK, K-3",363,11 to 1
628,629,Connecticut Farms Elementary School,Twp Of Union Board Of Education School District,B,"PK, K-5",393,10 to 1
629,630,Seth Boyden Elementary School,South Orange-Maplewood School District,B,K-5,493,11 to 1
630,631,Aldrich School,Howell Township Public School District,B,5-Mar,393,13 to 1
631,632,Stow Creek School,BRIDGETON,B,"PK, K-8",124,5 to 1
632,633,Dwight D. Eisenhower School,Piscataway Township School District,B,K-3,507,15 to 1
633,634,Robert B. Jaggard School,Evesham Township School District,B,K-5,427,10 to 1
634,635,Jefferson Elementary School,Hawthorne Public School District,B,"PK, K-5",279,13 to 1
635,636,Union Valley Elementary School,Gloucester Township School District,B,"PK, K-5",501,11 to 1
636,637,Birches Elementary School,Washington Township School District,B,K-5,427,11 to 1
637,638,E.H. Slaybaugh Elementary School,Egg Harbor Township School District,B,"PK, K-3",867,20 to 1
638,639,Gantner Avenue Elementary School,Elmwood Park School District,B,K-5,312,11 to 1
639,640,Roosevelt Elementary School,Hawthorne Public School District,B,K-5,538,12 to 1
640,641,Middle Road School,Hazlet Township Public School District,B,4-Jan,251,11 to 1
641,642,Holland Township Elementary School,MILFORD,B,"PK, K-8",525,9 to 1
642,643,Gen. Charles G. Harker School,Swedesboro-Woolwich School District,B,5-Mar,660,11 to 1
643,644,Clayton J. Davenport Elementary School,Egg Harbor Township School District,B,"PK, K-3",775,15 to 1
644,645,Yardville Elementary School,Hamilton Township School District (Hamilton),B,"PK, K-5",292,15 to 1
645,646,Switlik Elementary School,Jackson Township School District,B,K-5,747,13 to 1
646,647,Washington Elementary School,Hawthorne Public School District,B,K-5,280,12 to 1
647,648,Franklin Elementary School,FRANKLIN,B,"PK, K-8",454,9 to 1
648,649,Greenville Elementary School,Howell Township Public School District,B,K-2,329,13 to 1
649,650,George Washington Elementary School,North Arlington School District,B,"PK, K-5",375,19 to 1
650,651,James Madison School No. 10,Garfield Public School District,B,"PK, K-5",261,11 to 1
651,652,Franklin School,Lyndhurst School District,B,"PK, K-2",244,16 to 1
652,653,Cape May City Elementary School,CAPE MAY,B,"PK, K-6",154,8 to 1
653,654,Ernest J. Finizio Aldene Elementary School,Roselle Park Board of Education,B,"PK, K-5",272,10 to 1
654,655,Empowerment Academy Charter School,JERSEY CITY,B,K-6,839,13 to 1
655,656,Highland Avenue School No. 10,Linden Public School District,B,"PK, K-5",258,12 to 1
656,-1,Jefferson School,Lyndhurst School District,B,5-Mar,269,15 to 1
657,657,Parkview School,Milltown School District,B,"PK, K-3",323,10 to 1
658,658,Harmony Elementary School,Middletown Township Public School District,B,"PK, K-5",531,13 to 1
659,659,Clifton School No. 2,Clifton Public School District,B,K-5,407,12 to 1
660,660,Ryerson Elementary School,Wayne Township Public School District,B,"PK, K-5",290,13 to 1
661,661,Woodrow Wilson School,Bayonne School District,B,"PK, K-8",761,12 to 1
